"","DATETIME","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","TIDE"
"3504",2021-12-20 13:40:00,354,21.2,26.4,6.3,5,4.8,5,1021,61.3,76.5,57.7,99,99
"3496",2021-12-20 05:40:00,2,20.6,26.6,6.1,5,4.9,21,1021.7,61.2,76.3,57,99,99
"2831",2021-11-22 11:40:00,11,19.2,23.9,5.8,5,4.7,11,1021.5,69.6,75.7,63.5,99,99
"3182",2021-12-07 02:40:00,16,22,26.4,6.1,5.3,4.6,9,1017.9,68.9,73,61.2,99,99
"2224",2021-10-28 02:50:00,334,22.4,29.5,6,5.3,4.8,339,1008.3,81.1,79.9,55.6,99,99
"1945",2021-10-16 08:40:00,19,24.7,31.5,5.9,5.3,4.5,10,1017.6,77.7,82.2,70.7,99,99
"3273",2021-12-10 21:40:00,170,21,26.4,6.2,5.6,4.9,156,1007.2,76.5,73.6,73.6,99,99
"2968",2021-11-28 04:40:00,350,22.9,27.6,5.6,5.6,4.5,4,1017.9,64.9,78.3,63,99,99
"3186",2021-12-07 06:40:00,15,15,20.4,5.6,5.6,4.8,32,1017.8,68,73.2,61.9,99,99
"3293",2021-12-11 17:40:00,14,31.5,39.5,8.5,5.9,5.2,10,1017.4,66.7,73.4,54.7,99,99
"2394",2021-11-04 06:40:00,52,24.9,30.1,7.3,5.9,5,31,1017.8,75,79.2,68.4,99,99
"3183",2021-12-07 03:40:00,15,20.6,24.7,6.9,5.9,4.9,18,1018.2,68.7,73,60.6,99,99
"3470",2021-12-19 03:40:00,21,22.2,27.8,8.2,6.2,5.4,14,1017.9,68.2,73.9,63.3,99,99
"1946",2021-10-16 09:40:00,19,25.9,32.3,7.9,6.2,5.1,4,1018.1,77.2,82.2,69.1,99,99
"2225",2021-10-28 04:40:00,342,26.4,32.7,7.9,6.2,5.1,353,1010,79.3,80.2,53.4,99,99
"3477",2021-12-19 10:40:00,353,22.9,29.5,7.9,6.7,5.4,25,1020.4,61.2,75,59.2,99,99
"1401",2021-09-22 19:40:00,23,19.8,25.5,7.7,6.7,5.4,32,1020.3,77.9,85.8,67.5,99,99
"2837",2021-11-22 17:40:00,3,19,23.9,7.7,6.7,5.3,25,1024.1,66.9,77.4,60.1,99,99
"3295",2021-12-11 19:40:00,13,29.9,38.7,11.8,7.1,6.2,8,1017.9,64.9,73.8,53.8,99,99
"1171",2021-09-13 05:40:00,110,25.7,31.1,9.8,7.1,6,127,1013,80.4,86.2,76.3,99,99
"1949",2021-10-16 12:40:00,27,25.1,30.9,9.1,7.1,5.6,13,1020.7,75.9,82,64.8,99,99
"3297",2021-12-11 21:40:00,14,27.6,35.8,11.2,7.7,6.1,20,1018.9,64.2,74.1,51.6,99,99
"3299",2021-12-11 23:40:00,15,25.7,31.5,11.1,7.7,6.1,25,1020.5,64.6,74.8,50.7,99,99
"3294",2021-12-11 18:40:00,9,30.7,38.5,10.9,7.7,5.9,26,1017.7,66,73.6,53.6,99,99
"3296",2021-12-11 20:40:00,9,29.7,36.2,12.1,8.3,6.4,18,1018.5,64.8,73.8,51.3,99,99
"1177",2021-09-13 11:40:00,84,28.2,35.8,11.9,8.3,6.6,123,1010.8,81.3,86,76.3,99,99
"3300",2021-12-12 00:40:00,16,23.5,29.9,11.6,8.3,6.3,30,1021.6,64.9,75.4,50.2,99,99
"1180",2021-09-13 14:40:00,54,36.2,45.5,13.5,9.1,6.8,129,1007.1,79.3,86,77,99,99
"1181",2021-09-13 15:40:00,74,22.9,29.5,13,9.1,6.8,124,1007.2,80.8,86,77.4,99,99
"1178",2021-09-13 12:40:00,84,28.2,34,12.6,9.1,6.7,138,1010.3,79.9,86,76.3,99,99
"1184",2021-09-13 18:40:00,36,21,26.2,13,10,7.5,116,1005.7,80.1,86,76.8,99,99
"1179",2021-09-13 13:40:00,67,27,34.4,12.6,10,6.7,145,1009.7,80.8,86,75.4,99,99
"1186",2021-09-13 20:40:00,325,19.2,26.6,12.6,10,7.4,113,1005.9,80.1,86,76.6,99,99
"1187",2021-09-13 21:40:00,328,21.2,29.9,12.1,10.8,7.1,114,1006.7,80.4,86,76.6,99,99
"1188",2021-09-13 22:40:00,320,19.4,27.4,11.4,10.8,6.9,121,1007.7,79.3,86,76.6,99,99
"629",2021-08-21 15:40:00,127,13.4,16.9,9.7,10.8,7.9,150,1013.6,86.2,86.5,78.1,99,99
"626",2021-08-21 12:40:00,128,12.6,16.3,9.6,11.4,7.9,141,1012.1,85.8,86.5,78.1,99,99
"630",2021-08-21 16:40:00,121,13.2,16.5,9.3,11.4,7.6,151,1014.3,86.4,86.7,78.3,99,99
"616",2021-08-21 02:40:00,126,15.2,18.3,8.6,11.4,7.2,124,1011.7,85.8,86.7,79,99,99
"627",2021-08-21 13:40:00,132,12.1,16.5,9.9,12.1,7.9,147,1012.7,86,86.5,77.5,99,99
"625",2021-08-21 11:40:00,128,13.6,17.7,9.3,12.1,7.7,150,1011.3,85.8,86.5,77.9,99,99
"611",2021-08-20 21:40:00,103,11.9,14.8,7.6,12.1,7.2,122,1011.3,84.7,86.9,77.2,99,99
"608",2021-08-20 18:40:00,109,13,16.5,6.6,12.9,6.7,113,1012.9,86.5,86.7,78.4,99,99
"607",2021-08-20 17:40:00,109,11.5,15.6,5.7,12.9,6.2,116,1013.5,86.4,86.5,78.1,99,99
"606",2021-08-20 16:40:00,114,13.4,16.9,5.5,12.9,6.1,119,1013.6,86.4,86.5,77.2,99,99
"600",2021-08-20 10:40:00,133,13.8,16.9,4,13.8,4.7,105,1011.3,85.5,86.2,77.5,99,99
"601",2021-08-20 11:40:00,129,11.7,15,4,13.8,4.7,111,1011.6,85.5,86.2,78.1,99,99
"832",2021-08-30 02:40:00,151,6.4,8.4,3.6,13.8,7.9,82,1010.7,84.9,87.1,76.8,99,99
"599",2021-08-20 09:40:00,135,13.4,16.1,3.9,14.8,4.6,106,1011.6,85.5,86.2,77.5,99,99
"596",2021-08-20 06:40:00,147,13.8,17.5,3.7,14.8,4.4,117,1013.2,86.2,86.4,78.1,99,99
"831",2021-08-30 01:40:00,146,6.4,8.6,3.5,14.8,8,70,1010,84.9,87.3,76.3,99,99
"830",2021-08-30 00:40:00,118,5.4,7.6,3.7,16,8.5,80,1010,84.9,87.1,77.2,99,99
"829",2021-08-29 23:40:00,131,3.9,5.6,2.8,16,7,78,1009.9,84.9,88.3,76.6,99,99
