#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 07 26 07 00 163  4.8  5.8 99.00 99.00 99.00 999 1014.3  28.6  29.5  24.7 99.0 99.00
2021 07 26 07 10 163  4.4  5.5 99.00 99.00 99.00 999 1014.2  28.7  29.5  24.9 99.0 99.00
2021 07 26 07 20 163  5.0  6.0 99.00 99.00 99.00 999 1014.1  28.6  29.5  24.9 99.0 99.00
2021 07 26 07 30 179  5.0  5.8 99.00 99.00 99.00 999 1014.2  28.6  29.5  24.6 99.0 99.00
2021 07 26 07 40 180  4.8  6.1  0.42  4.17  3.24 175 1014.3  28.6  29.5  24.4 99.0 99.00
2021 07 26 07 50 178  4.7  5.9 99.00 99.00 99.00 999 1014.2  28.6  29.5  24.7 99.0 99.00
2021 07 26 08 00 175  4.8  5.6 99.00 99.00 99.00 999 1014.1  28.6  29.5  24.6 99.0 99.00
2021 07 26 08 10 175  4.5  5.7 99.00 99.00 99.00 999 1014.1  28.6  29.5  24.5 99.0 99.00
2021 07 26 08 20 174  4.7  5.8 99.00 99.00 99.00 999 1014.0  28.6  29.5  24.8 99.0 99.00
2021 07 26 08 30 170  5.0  6.0 99.00 99.00 99.00 999 1014.1  28.6  29.5  24.4 99.0 99.00
2021 07 26 08 40 174  4.7  5.6  0.42  4.17  3.16 181 1014.1  28.6  29.5  24.1 99.0 99.00
2021 07 26 08 50 170  4.4  5.3 99.00 99.00 99.00 999 1014.0  28.6  29.5  24.5 99.0 99.00
2021 07 26 09 00 168  4.2  5.3 99.00 99.00 99.00 999 1014.0  28.5  29.5  24.4 99.0 99.00
2021 07 26 09 10 168  4.0  4.9 99.00 99.00 99.00 999 1013.9  28.5  29.5  24.3 99.0 99.00
2021 07 26 09 20 169  3.6  4.4 99.00 99.00 99.00 999 1013.9  28.5  29.5  24.4 99.0 99.00
2021 07 26 09 30 168  4.0  5.4 99.00 99.00 99.00 999 1013.9  28.5  29.5  24.6 99.0 99.00
2021 07 26 09 40 172  4.2  5.6  0.44  3.03  3.27 172 1013.9  28.4  29.4  24.6 99.0 99.00
2021 07 26 09 50 169  4.0  5.0 99.00 99.00 99.00 999 1014.0  28.4  29.5  24.6 99.0 99.00
2021 07 26 10 00 161  3.8  4.6 99.00 99.00 99.00 999 1014.0  28.4  29.5  24.6 99.0 99.00
2021 07 26 10 10 169  3.7  4.9 99.00 99.00 99.00 999 1014.0  28.5  29.5  24.8 99.0 99.00
2021 07 26 10 20 185  3.7  4.7 99.00 99.00 99.00 999 1014.1  28.4  29.4  24.8 99.0 99.00
2021 07 26 10 30 184  3.7  4.5 99.00 99.00 99.00 999 1014.2  28.4  29.4  24.5 99.0 99.00
2021 07 26 10 40 192  3.6  4.5  0.43  3.13  3.35 180 1014.2  28.5  29.4  24.6 99.0 99.00
2021 07 26 10 50 187  3.4  4.4 99.00 99.00 99.00 999 1014.2  28.4  29.4  24.6 99.0 99.00
2021 07 26 11 00 188  3.4  4.5 99.00 99.00 99.00 999 1014.1  28.4  29.4  24.6 99.0 99.00
2021 07 26 11 10 183  3.3  4.4 99.00 99.00 99.00 999 1014.1  28.4  29.4  24.8 99.0 99.00
2021 07 26 11 20 184  3.2  4.8 99.00 99.00 99.00 999 1014.1  28.4  29.4  25.0 99.0 99.00
2021 07 26 11 30 195  3.5  4.3 99.00 99.00 99.00 999 1014.1  28.4  29.4  24.9 99.0 99.00
2021 07 26 11 40 186  3.6  4.6  0.41  4.00  3.40 178 1014.0  28.4  29.4  24.7 99.0 99.00
2021 07 26 11 50 185  3.2  4.0 99.00 99.00 99.00 999 1014.1  28.3  29.4  24.8 99.0 99.00
2021 07 26 12 00 187  3.4  4.3 99.00 99.00 99.00 999 1014.2  28.3  29.4  24.7 99.0 99.00
2021 07 26 12 10 192  3.1  3.9 99.00 99.00 99.00 999 1014.2  28.3  29.4  24.7 99.0 99.00
2021 07 26 12 20 189  3.0  4.0 99.00 99.00 99.00 999 1014.2  28.3  29.4  24.8 99.0 99.00
2021 07 26 12 30 190  2.8  3.5 99.00 99.00 99.00 999 1014.2  28.3  29.4  24.7 99.0 99.00
2021 07 26 12 40 190  2.7  3.4  0.39  4.00  3.41 181 1014.2  28.3  29.4  24.7 99.0 99.00
2021 07 26 12 50 175  2.9  3.7 99.00 99.00 99.00 999 1014.2  28.3  29.3  24.7 99.0 99.00
2021 07 26 13 00 171  3.1  3.9 99.00 99.00 99.00 999 1014.1  28.4  29.3  24.8 99.0 99.00
2021 07 26 13 10 169  2.7  3.4 99.00 99.00 99.00 999 1014.2  28.4  29.3  24.8 99.0 99.00
2021 07 26 13 20 174  2.2  3.2 99.00 99.00 99.00 999 1014.2  28.4  29.3  24.8 99.0 99.00
2021 07 26 13 30 184  2.7  3.9 99.00 99.00 99.00 999 1014.4  28.4  29.3  24.8 99.0 99.00
2021 07 26 13 40 177  2.9  3.5  0.36  4.17  3.49 170 1014.4  28.4  29.3  24.7 99.0 99.00
2021 07 26 13 50 184  2.7  3.5 99.00 99.00 99.00 999 1014.5  28.5  29.3  24.7 99.0 99.00
2021 07 26 14 00 177  2.8  3.6 99.00 99.00 99.00 999 1014.5  28.4  29.3  24.6 99.0 99.00
2021 07 26 14 10 170  2.5  3.2 99.00 99.00 99.00 999 1014.4  28.5  29.3  24.8 99.0 99.00
2021 07 26 14 20 171  2.0  2.8 99.00 99.00 99.00 999 1014.6  28.5  29.3  24.7 99.0 99.00
2021 07 26 14 30 170  2.4  3.1 99.00 99.00 99.00 999 1014.6  28.5  29.3  24.7 99.0 99.00
2021 07 26 14 40 170  2.5  3.4  0.35  3.70  3.60 184 1014.8  28.5  29.3  24.7 99.0 99.00
2021 07 26 14 50 164  2.0  3.3 99.00 99.00 99.00 999 1014.9  28.5  29.3  24.7 99.0 99.00
2021 07 26 15 00 168  2.1  3.0 99.00 99.00 99.00 999 1014.9  28.5  29.4  24.7 99.0 99.00
2021 07 26 15 10 158  1.8  2.7 99.00 99.00 99.00 999 1015.0  28.5  29.4  24.6 99.0 99.00
2021 07 26 15 20 155  0.8  2.1 99.00 99.00 99.00 999 1015.0  28.6  29.4  24.6 99.0 99.00
2021 07 26 15 30 166  0.3  1.2 99.00 99.00 99.00 999 1015.0  28.6  29.4  24.5 99.0 99.00
2021 07 26 15 40 157  0.0  0.0  0.35  3.57  3.48 181 1015.1  28.7  29.4  24.6 99.0 99.00
2021 07 26 15 50 167  0.0  0.0 99.00 99.00 99.00 999 1015.1  28.7  29.4  24.6 99.0 99.00
2021 07 26 16 00 161  0.5  1.8 99.00 99.00 99.00 999 1015.1  28.7  29.4  24.5 99.0 99.00
2021 07 26 16 10 171  0.7  1.7 99.00 99.00 99.00 999 1015.2  28.7  29.4  24.4 99.0 99.00
2021 07 26 16 20 160  0.0  0.0 99.00 99.00 99.00 999 1015.2  28.7  29.4  24.3 99.0 99.00
2021 07 26 16 30 141  0.0  0.0 99.00 99.00 99.00 999 1015.3  28.8  29.5  24.5 99.0 99.00
2021 07 26 16 40 138  0.0  0.0  0.35  4.00  3.62 174 1015.3  28.8  29.5  24.7 99.0 99.00
2021 07 26 16 50 148  0.0  0.0 99.00 99.00 99.00 999 1015.4  28.8  29.5  24.7 99.0 99.00
2021 07 26 17 00 150  0.0  0.0 99.00 99.00 99.00 999 1015.4  28.8  29.5  24.6 99.0 99.00
2021 07 26 17 10 155  0.0  0.0 99.00 99.00 99.00 999 1015.3  28.7  29.6  24.2 99.0 99.00
2021 07 26 17 20 121  0.0  0.0 99.00 99.00 99.00 999 1015.4  28.8  29.6  24.1 99.0 99.00
2021 07 26 17 30 115  0.0  0.0 99.00 99.00 99.00 999 1015.4  28.9  29.6  24.0 99.0 99.00
2021 07 26 17 40 115  0.0  0.0  0.34  4.17  3.69 169 1015.4  28.9  29.6  24.1 99.0 99.00
2021 07 26 17 50 130  0.0  0.0 99.00 99.00 99.00 999 1015.3  28.9  29.7  24.2 99.0 99.00
2021 07 26 18 00 135  0.0  0.0 99.00 99.00 99.00 999 1015.2  28.8  29.7  24.1 99.0 99.00
2021 07 26 18 10 117  0.0  0.0 99.00 99.00 99.00 999 1015.1  28.8  29.7  24.0 99.0 99.00
2021 07 26 18 20 119  0.0  0.0 99.00 99.00 99.00 999 1015.1  28.9  29.8  23.9 99.0 99.00
2021 07 26 18 30  84  0.0  0.0 99.00 99.00 99.00 999 1015.1  29.0  29.7  23.9 99.0 99.00
2021 07 26 18 40 142  0.0  0.0  0.31  4.35  3.56 169 1015.0  29.2  29.6  24.1 99.0 99.00
2021 07 26 18 50 133  0.0  0.0 99.00 99.00 99.00 999 1015.0  29.0  29.8  24.0 99.0 99.00
2021 07 26 19 00 109  0.0  0.0 99.00 99.00 99.00 999 1014.9  28.9  29.9  24.2 99.0 99.00
2021 07 26 19 10 101  0.0  0.0 99.00 99.00 99.00 999 1014.8  28.9  29.9  24.1 99.0 99.00
2021 07 26 19 20  99  0.0  0.0 99.00 99.00 99.00 999 1014.7  29.0  29.9  23.9 99.0 99.00
2021 07 26 19 30  84  0.0  0.0 99.00 99.00 99.00 999 1014.7  29.1  29.9  24.2 99.0 99.00
2021 07 26 19 40  69  0.0  0.0  0.31  5.00  3.69 142 1014.7  29.0  29.9  23.9 99.0 99.00
2021 07 26 19 50  75  0.0  0.0 99.00 99.00 99.00 999 1014.6  29.0  29.9  23.7 99.0 99.00
2021 07 26 20 00  73  0.0  0.0 99.00 99.00 99.00 999 1014.6  29.0  29.7  24.0 99.0 99.00
2021 07 26 20 10  58  0.5  2.3 99.00 99.00 99.00 999 1014.6  29.0  29.8  24.0 99.0 99.00
2021 07 26 20 20  75  0.8  2.9 99.00 99.00 99.00 999 1014.6  29.0  29.7  23.9 99.0 99.00
2021 07 26 20 30  78  2.1  3.0 99.00 99.00 99.00 999 1014.6  29.2  29.8  23.9 99.0 99.00
2021 07 26 20 40  84  2.3  3.3  0.29  4.55  3.64 148 1014.6  29.2  29.7  24.2 99.0 99.00
2021 07 26 20 50  75  1.8  3.1 99.00 99.00 99.00 999 1014.6  29.2  30.5  24.2 99.0 99.00
